Epoch,Batch,Loss
4,116,0.0970027968287468
3,110,0.08053919672966003
4,117,0.09269659221172333
3,111,0.08557328581809998
4,118,0.08296558260917664
3,112,0.07328976690769196
4,119,0.0906725749373436
3,113,0.08647863566875458
4,120,0.09097443521022797
3,114,0.08191335946321487
4,121,0.09614848345518112
3,115,0.08770036697387695
4,122,0.08800574392080307
3,116,0.07763293385505676
4,123,0.1075340136885643
3,117,0.08327154070138931
4,124,0.09257811307907104
3,118,0.10151883214712143
4,125,0.09718410670757294
3,119,0.09597069025039673
4,126,0.0968843325972557
3,120,0.09990527480840683
4,127,0.08863769471645355
3,121,0.09316647052764893
4,128,0.09120115637779236
3,122,0.10574497282505035
4,129,0.10603707283735275
3,123,0.07986609637737274
4,130,0.1045224517583847
3,124,0.09649759531021118
4,131,0.10357338190078735
3,125,0.08001642674207687
4,132,0.11328770965337753
3,126,0.10048916190862656
4,133,0.10996141284704208
3,127,0.09103076159954071
4,134,0.08562535047531128
3,128,0.08840068429708481
4,135,0.08017191290855408
3,129,0.10684303939342499
4,136,0.10104218125343323
3,130,0.08090634644031525
4,137,0.09379138797521591
3,131,0.08377811312675476
4,138,0.08112676441669464
3,132,0.10662941634654999
4,139,0.08274818956851959
3,133,0.08497808873653412
4,140,0.08968760073184967
3,134,0.07200296968221664
4,141,0.08006178587675095
3,135,0.08350720256567001
4,142,0.07657155394554138
3,136,0.09514697641134262
4,143,0.07846339046955109
3,137,0.07699555158615112
4,144,0.09865941852331161
3,138,0.09959061443805695
4,145,0.1027267798781395
3,139,0.09415172040462494
4,146,0.10621626675128937
3,140,0.06466637551784515
4,147,0.0898287296295166
3,141,0.09569340199232101
4,148,0.07932864129543304
3,142,0.08397062867879868
4,149,0.08622804284095764
3,143,0.10633420944213867
4,150,0.10688793659210205
3,144,0.07568645477294922
4,151,0.08868680894374847
3,145,0.08106894046068192
4,152,0.08216921240091324
3,146,0.08250010013580322
4,153,0.06854216754436493
3,147,0.09644834697246552
4,154,0.08091657608747482
3,148,0.10331656783819199
4,155,0.08400389552116394
3,149,0.07781995832920074
4,156,0.10869290679693222
3,150,0.0966385155916214
4,157,0.09570201486349106
3,151,0.08494411408901215
4,158,0.08687160909175873
3,152,0.09080885350704193
4,159,0.07980598509311676
3,153,0.10474836826324463
4,160,0.09142335504293442
3,154,0.08789673447608948
4,161,0.10352807492017746
3,155,0.0828641951084137
4,162,0.08230268955230713
3,156,0.07904636859893799
4,163,0.08675843477249146
3,157,0.0724245235323906
4,164,0.08026328682899475
3,158,0.10271497815847397
4,165,0.09532448649406433
3,159,0.11079958081245422
4,166,0.11861559003591537
3,160,0.09444302320480347
4,167,0.07149848341941833
3,161,0.08192893862724304
4,168,0.09097382426261902
3,162,0.09092514216899872
4,169,0.08485179394483566
3,163,0.07523897290229797
4,170,0.08616529405117035
3,164,0.09989505261182785
4,171,0.08999570459127426
3,165,0.0738711804151535
4,172,0.08819534629583359
3,166,0.10905715823173523
4,173,0.09291031956672668
3,167,0.08350655436515808
4,174,0.09340869635343552
3,168,0.08048657327890396
4,175,0.06617220491170883
3,169,0.0839533656835556
4,176,0.09746739268302917
