Epoch,Batch,Loss,mIoU
1,1,2.2930872440338135,0.03160692751407623
1,2,2.285538673400879,0.09028205275535583
1,3,2.267040967941284,0.22082127630710602
1,4,2.271545648574829,0.08369415253400803
1,5,2.2749688625335693,0.05431373417377472
1,6,2.27238392829895,0.05840890482068062
1,7,2.271289825439453,0.039941564202308655
1,8,2.2494888305664062,0.08259167522192001
1,9,2.2592484951019287,0.04826518893241882
1,10,2.2211883068084717,0.18003623187541962
1,11,2.221064567565918,0.174142524600029
1,12,2.19352650642395,1.0
1,13,2.2536420822143555,0.09151797741651535
1,14,2.2136805057525635,0.4000720977783203
1,15,2.1962890625,0.10841522365808487
1,16,2.3560831546783447,0.0
1,17,2.1207220554351807,1.0
1,18,2.213623285293579,0.02143402025103569
1,19,2.175959348678589,0.0808461531996727
1,20,2.0389785766601562,0.33076563477516174
1,21,1.908862590789795,0.49798837304115295
1,22,2.234171152114868,0.015826670452952385
1,23,1.7481399774551392,0.17756430804729462
1,24,1.233241319656372,0.24465392529964447
1,25,1.6663309335708618,0.21576350927352905
1,26,3.3839175701141357,0.032716117799282074
1,27,1.2241014242172241,0.3538157045841217
1,28,1.8049497604370117,0.15321476757526398
1,29,1.7645492553710938,0.19782806932926178
1,30,1.4246740341186523,0.26421651244163513
1,31,1.858464241027832,0.1172545775771141
1,32,1.7263479232788086,0.18203185498714447
1,33,2.749465227127075,0.0
1,34,1.7413992881774902,0.08989758044481277
1,35,1.156996250152588,0.4865226745605469
1,36,1.6534347534179688,0.20117653906345367
1,37,1.799351692199707,0.07389958947896957
1,38,1.7379688024520874,0.06684290617704391
1,39,1.231007695198059,1.0
1,40,1.3032715320587158,0.21581904590129852
1,41,1.16814124584198,0.2602030336856842
1,42,1.5335536003112793,0.08790100365877151
1,43,1.4859333038330078,0.06177113577723503
1,44,0.4931880533695221,0.47858938574790955
1,45,0.6717262268066406,0.46316400170326233
1,46,3.1653316020965576,0.034802500158548355
1,47,4.567630290985107,0.03194194287061691
1,48,0.49896883964538574,1.0
1,49,1.9386672973632812,0.041291553527116776
1,50,1.1271183490753174,0.189749076962471
1,51,1.01006019115448,0.35299935936927795
1,52,3.7041971683502197,0.0
1,53,1.3306379318237305,0.1539621353149414
1,54,1.3118089437484741,0.24957275390625
1,55,1.3127895593643188,0.2116936594247818
1,56,1.2409782409667969,0.48559442162513733
1,57,1.4551242589950562,0.3805255889892578
1,58,1.2225123643875122,0.14769873023033142
1,59,1.596024513244629,0.11613845825195312
1,60,1.3875993490219116,0.13413429260253906
1,61,1.2061095237731934,0.46600404381752014
1,62,1.5569356679916382,0.09254879504442215
1,63,1.855771541595459,0.0435035340487957
1,64,1.5635253190994263,0.08786112815141678
1,65,1.262621521949768,0.2930825650691986
1,66,0.8207685351371765,0.3655293881893158
1,67,1.3384650945663452,0.1247914656996727
1,68,1.965803623199463,0.05881309509277344
1,69,1.0023503303527832,0.41882386803627014
1,70,1.4866132736206055,0.07065222412347794
1,71,1.0289596319198608,0.21517117321491241
1,72,0.6662355065345764,0.27765145897865295
1,73,1.1243491172790527,0.26567670702934265
1,74,0.8163285255432129,0.24145804345607758
1,75,1.2963509559631348,0.08609822392463684
1,76,1.7922970056533813,0.0536961555480957
1,77,2.0102148056030273,0.06885846704244614
1,78,4.010946750640869,0.023955028504133224
